city,temp_lo,temp_hi,prcp,date,humidity,wind_speed,rain
City_1,26,37,0.74,01-01-2000,34,16.5,no
City_2,39,66,0.47,02-01-2000,81,19.9,no
City_3,48,39,0.98,03-01-2000,77,3.4,yes
City_4,34,50,0.09,04-01-2000,82,3,no
City_5,30,61,0.38,05-01-2000,55,10.1,no
City_6,27,64,0.5,06-01-2000,51,12.8,no
City_7,48,51,0.52,07-01-2000,73,3.5,yes
City_8,40,62,0.34,08-01-2000,52,17.2,no
City_9,26,37,0.73,09-01-2000,42,10.7,no
City_10,45,52,0.87,10-01-2000,38,8.3,no
City_11,38,36,0.93,11-01-2000,78,12.1,yes
City_12,42,35,0.8,12-01-2000,49,12.7,no
City_13,30,64,0.85,13-01-2000,57,1,no
City_14,30,46,0.56,14-01-2000,73,20,yes
City_15,43,31,0.82,15-01-2000,86,7.3,yes
City_16,40,56,0.33,16-01-2000,66,1.3,no
City_17,23,34,0.42,17-01-2000,53,17.1,no
City_18,27,49,0.34,18-01-2000,73,19.9,no
City_19,43,56,0.48,19-01-2000,62,16.3,no
City_20,22,29,0.31,20-01-2000,49,17.1,no
City_21,41,64,0.95,21-01-2000,89,12.6,yes
City_22,40,49,0.34,22-01-2000,77,18.5,no
City_23,21,63,0.13,23-01-2000,59,0.8,no
City_24,43,41,0.54,24-01-2000,73,15.4,yes
City_25,31,38,0.09,25-01-2000,38,13.4,no
City_26,49,38,0.15,26-01-2000,74,1.1,no
City_27,25,41,0.25,27-01-2000,78,10.9,no
City_28,21,65,0.48,28-01-2000,46,10.3,no
City_29,47,66,0.45,29-01-2000,65,13.9,no
City_30,40,52,0.8,30-01-2000,43,1.6,no
City_31,20,30,0.74,31-01-2000,48,16.1,no
City_32,31,50,0.45,01-02-2000,36,2.9,no
City_33,45,45,0.36,02-02-2000,88,8.4,no
City_34,41,64,0.34,03-02-2000,32,17.6,no
City_35,48,42,0.78,04-02-2000,62,11.3,yes
City_36,31,38,0.09,05-02-2000,73,7.7,no
City_37,44,63,0.05,06-02-2000,61,1.1,no
City_38,36,53,0.8,07-02-2000,76,13.5,yes
City_39,46,31,0.49,08-02-2000,40,19.7,no
City_40,46,66,0.16,09-02-2000,71,18.2,no
City_41,29,45,0.26,10-02-2000,31,14.4,no
City_42,47,40,0.93,11-02-2000,55,2.2,no
City_43,47,52,0.86,12-02-2000,33,4.9,no
City_44,35,57,0.71,13-02-2000,46,3.8,no
City_45,34,53,0.5,14-02-2000,46,7.2,no
City_46,49,64,0.53,15-02-2000,57,4.8,no
City_47,49,54,0.97,16-02-2000,59,5,no
City_48,34,66,0.96,17-02-2000,69,12.4,yes
City_49,49,29,0.24,18-02-2000,52,6.4,no
City_50,38,48,0.81,19-02-2000,75,13.6,yes
City_51,31,56,0.23,20-02-2000,53,19,no
City_52,42,44,0.24,21-02-2000,58,12.8,no
City_53,39,45,0.68,22-02-2000,33,15.1,no
City_54,44,56,0.42,23-02-2000,67,15.1,no
City_55,22,40,0.92,24-02-2000,58,6.7,no
City_56,24,55,0.12,25-02-2000,48,0.4,no
City_57,38,58,0.53,26-02-2000,56,1.2,no
City_58,26,62,0.91,27-02-2000,58,5.7,no
City_59,40,65,0.9,28-02-2000,85,13.8,yes
City_60,28,34,0.19,29-02-2000,65,18.1,no
City_61,26,35,0.39,01-03-2000,64,19.2,no
City_62,37,60,0.63,02-03-2000,81,0.6,yes
City_63,23,60,0.19,03-03-2000,35,19.8,no
City_64,44,53,0.96,04-03-2000,88,6.5,yes
City_65,47,61,0.91,05-03-2000,52,16.9,no
City_66,33,35,0.2,06-03-2000,68,3.7,no
City_67,37,40,0.16,07-03-2000,75,1.4,no
City_68,45,44,0.12,08-03-2000,73,7.6,no
City_69,28,44,0.9,09-03-2000,77,17.2,yes
City_70,45,64,0.22,10-03-2000,81,4.5,no
City_71,40,41,0.44,11-03-2000,37,3.2,no
City_72,21,35,0.47,12-03-2000,84,18.2,no
City_73,39,64,0.61,13-03-2000,31,18.8,no
City_74,47,37,0.11,14-03-2000,42,0.3,no
City_75,34,60,0.26,15-03-2000,69,14.6,no
City_76,47,39,0.92,16-03-2000,86,6.3,yes
City_77,26,36,0.9,17-03-2000,50,7.6,no
City_78,31,61,0.78,18-03-2000,60,9.4,no
City_79,48,51,0.06,19-03-2000,81,8.6,no
City_80,27,53,0.35,20-03-2000,77,10.3,no
City_81,34,36,0.64,21-03-2000,65,11.7,yes
City_82,22,50,0.3,22-03-2000,77,9.4,no
City_83,33,32,0.9,23-03-2000,81,14.1,yes
City_84,36,31,0.64,24-03-2000,67,14.4,yes
City_85,23,57,0.11,25-03-2000,56,8.9,no
City_86,37,57,0.9,26-03-2000,65,2.9,yes
City_87,27,62,0.95,27-03-2000,77,12.8,yes
City_88,23,62,0.11,28-03-2000,52,15.5,no
City_89,21,56,0.55,29-03-2000,84,12.8,yes
City_90,49,41,0.33,30-03-2000,50,11.8,no
City_91,25,43,0.41,31-03-2000,42,4.7,no
City_92,41,51,0.21,01-04-2000,66,12.9,no
City_93,29,54,0.59,02-04-2000,76,6.8,yes
City_94,23,32,0.95,03-04-2000,55,18.4,no
City_95,41,54,0.52,04-04-2000,69,13.1,yes
City_96,48,37,0.12,05-04-2000,36,5.6,no
City_97,37,33,0.63,06-04-2000,75,9.5,yes
City_98,45,60,0.36,07-04-2000,68,16.9,no
City_99,31,48,0.85,08-04-2000,51,6.8,no
City_100,21,39,0.45,09-04-2000,68,10.6,no
City_101,29,43,0.22,10-04-2000,52,13.6,no
City_102,49,60,0.22,11-04-2000,87,15.1,no
City_103,23,56,0.77,12-04-2000,59,3.6,no
City_104,33,50,0.29,13-04-2000,47,11.3,no
City_105,35,45,0.77,14-04-2000,71,18.3,yes
City_106,34,54,0.24,15-04-2000,47,19.4,no
City_107,27,35,0.35,16-04-2000,75,13.2,no
City_108,33,54,0.48,17-04-2000,39,19.7,no
City_109,42,53,0.94,18-04-2000,68,11.5,yes
City_110,47,38,0.93,19-04-2000,59,8.9,no
City_111,44,47,0.24,20-04-2000,55,11.1,no
City_112,49,39,0.38,21-04-2000,36,2.4,no
City_113,27,41,0.18,22-04-2000,36,8.1,no
City_114,40,36,0.52,23-04-2000,34,9.2,no
City_115,35,32,0.48,24-04-2000,30,17,no
City_116,32,59,0.9,25-04-2000,75,15.2,yes
City_117,37,56,0.92,26-04-2000,47,12.1,no
City_118,34,39,0.4,27-04-2000,42,7,no
City_119,40,29,0.51,28-04-2000,54,3.8,no
City_120,43,66,0.89,29-04-2000,69,7,yes
City_121,45,52,0.81,30-04-2000,37,13.6,no
City_122,44,59,0.04,01-05-2000,39,5.3,no
City_123,47,54,0.34,02-05-2000,61,8.6,no
City_124,47,33,0.44,03-05-2000,46,7.8,no
City_125,47,48,0.26,04-05-2000,67,15.3,no
City_126,32,39,0.23,05-05-2000,44,17.7,no
City_127,28,61,0.08,06-05-2000,44,14,no
City_128,48,66,0.65,07-05-2000,86,6.9,yes
City_129,34,55,0.29,08-05-2000,77,8.7,no
City_130,32,62,0.09,09-05-2000,69,3,no
City_131,20,43,0.26,10-05-2000,80,3.4,no
City_132,44,60,0.8,11-05-2000,49,3.4,no
City_133,26,49,0.85,12-05-2000,44,2.7,no
City_134,28,33,0.5,13-05-2000,64,3.7,no
City_135,43,34,0.44,14-05-2000,35,4.1,no
City_136,20,66,0.97,15-05-2000,59,2.3,no
City_137,31,50,0.23,16-05-2000,86,12.8,no
City_138,27,46,0.24,17-05-2000,37,19.8,no
City_139,43,42,0.32,18-05-2000,60,17.6,no
City_140,30,38,0.2,19-05-2000,77,1,no
City_141,38,41,0.4,20-05-2000,76,8.5,no
City_142,36,59,0.91,21-05-2000,61,17.2,yes
City_143,27,58,0.62,22-05-2000,74,2.8,yes
City_144,22,31,0.43,23-05-2000,87,17,no
City_145,22,58,0.93,24-05-2000,81,11.9,yes
City_146,20,34,0.09,25-05-2000,44,18.6,no
City_147,46,57,0.24,26-05-2000,47,17.5,no
City_148,24,36,0.58,27-05-2000,42,13.6,no
City_149,29,61,0.62,28-05-2000,53,13.2,no
City_150,26,45,0.08,29-05-2000,69,4.3,no
City_151,45,39,0.42,30-05-2000,43,2.4,no
City_152,28,41,0.66,31-05-2000,57,8.4,no
City_153,47,39,0.7,01-06-2000,40,3.8,no
City_154,26,59,0.65,02-06-2000,35,2.1,no
City_155,28,56,0.34,03-06-2000,85,6.1,no
City_156,27,34,0.13,04-06-2000,54,17.2,no
City_157,31,44,0.45,05-06-2000,30,0.4,no
City_158,21,32,0.16,06-06-2000,54,5.9,no
City_159,20,63,0.94,07-06-2000,31,8.5,no
City_160,35,54,0.49,08-06-2000,61,10.3,no
City_161,42,40,0.34,09-06-2000,42,3.7,no
City_162,42,39,0.77,10-06-2000,62,19.3,yes
City_163,49,65,0.51,11-06-2000,61,11.6,yes
City_164,43,53,0.33,12-06-2000,85,10.5,no
City_165,24,46,0.81,13-06-2000,53,0.3,no
City_166,22,47,0.86,14-06-2000,56,9.8,no
City_167,31,51,0.68,15-06-2000,33,16.8,no
City_168,27,66,0.08,16-06-2000,53,4.5,no
City_169,41,46,0.58,17-06-2000,52,7.1,no
City_170,46,54,0.77,18-06-2000,58,0.5,no
City_171,22,34,0.17,19-06-2000,63,19.5,no
City_172,20,32,0.26,20-06-2000,50,1.4,no
City_173,22,57,0.88,21-06-2000,59,18,no
City_174,24,62,0.06,22-06-2000,55,6.3,no
City_175,34,45,0.76,23-06-2000,49,11.8,no
City_176,33,44,0.49,24-06-2000,45,13.6,no
City_177,22,30,0.46,25-06-2000,32,2.9,no
City_178,20,62,0.05,26-06-2000,78,8.9,no
City_179,24,36,0.82,27-06-2000,66,6.6,yes
City_180,45,41,0.38,28-06-2000,87,1.2,no
City_181,42,36,0.55,29-06-2000,69,16.7,yes
City_182,33,58,0.68,30-06-2000,73,1,yes
City_183,26,60,0.71,01-07-2000,54,13.1,no
City_184,46,64,0.95,02-07-2000,52,6.4,no
City_185,28,58,0.54,03-07-2000,73,3.9,yes
City_186,34,29,0.42,04-07-2000,88,13.4,no
City_187,34,67,0.95,05-07-2000,30,11.5,no
City_188,45,45,0.65,06-07-2000,62,6.4,yes
City_189,29,48,0.32,07-07-2000,44,10.3,no
City_190,47,52,0.16,08-07-2000,46,5,no
City_191,32,50,0.84,09-07-2000,63,17.3,yes
City_192,38,57,0.38,10-07-2000,46,6.3,no
City_193,26,50,0.67,11-07-2000,81,5,yes
City_194,36,37,0.49,12-07-2000,87,15.1,no
City_195,39,65,0.23,13-07-2000,70,0.5,no
City_196,48,38,0.61,14-07-2000,73,5.4,yes
City_197,23,64,0.1,15-07-2000,33,7.6,no
City_198,49,65,0.43,16-07-2000,42,17.7,no
City_199,24,56,0.56,17-07-2000,33,19,no
